2235; 1110; 2860
2020; 890; 3180
850; 365; 2712
2035; 1060; 3100
2010; 917; 3117
1120; 280; 2830
2045; 1015; 3075
2100; 990; 3245
3064; 1260; 3380
1815; 780; 2850
1555; 463; 2611
3060; 1230; 3380
2045; 1015; 3060
2090; 1007; 3188
2890; 1100; 3100
2035; 1040; 3080
2032; 927; 3100
820; 430; 2550
1500; 0; 2600
